/root/miniconda3/lib/python3.10/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: '/root/miniconda3/lib/python3.10/site-packages/torchvision/image.so: undefined symbol: _ZN3c1017RegisterOperatorsD1Ev'If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn(
Model Params: 63.91M
Trainable Params: 63.912M
策略模型总参数量：63.912 M
Model Params: 63.91M
Trainable Params: 63.912M
参考模型总参数量：63.912 M
Epoch:[1/2](2000/4292), loss: 0.8089, dpo_loss: 0.8089, aux_loss: 0.0000, learning_rate: 0.00000044, epoch_time: 3.000min
Epoch:[1/2](2050/4292), loss: 0.9744, dpo_loss: 0.9744, aux_loss: 0.0000, learning_rate: 0.00000044, epoch_time: 3.000min
Epoch:[1/2](2100/4292), loss: 0.3615, dpo_loss: 0.3615, aux_loss: 0.0000, learning_rate: 0.00000044, epoch_time: 3.000min
Epoch:[1/2](2150/4292), loss: 0.5907, dpo_loss: 0.5907, aux_loss: 0.0000, learning_rate: 0.00000043, epoch_time: 3.000min
Epoch:[1/2](2200/4292), loss: 1.0077, dpo_loss: 1.0077, aux_loss: 0.0000, learning_rate: 0.00000043, epoch_time: 2.000min
Epoch:[1/2](2250/4292), loss: 0.2944, dpo_loss: 0.2944, aux_loss: 0.0000, learning_rate: 0.00000043, epoch_time: 2.000min
Epoch:[1/2](2300/4292), loss: 0.3874, dpo_loss: 0.3874, aux_loss: 0.0000, learning_rate: 0.00000042, epoch_time: 2.000min
Epoch:[1/2](2350/4292), loss: 0.1935, dpo_loss: 0.1935, aux_loss: 0.0000, learning_rate: 0.00000042, epoch_time: 2.000min
Epoch:[1/2](2400/4292), loss: 0.3639, dpo_loss: 0.3639, aux_loss: 0.0000, learning_rate: 0.00000042, epoch_time: 2.000min
Epoch:[1/2](2450/4292), loss: 0.5247, dpo_loss: 0.5247, aux_loss: 0.0000, learning_rate: 0.00000042, epoch_time: 2.000min
Epoch:[1/2](2500/4292), loss: 1.4926, dpo_loss: 1.4926, aux_loss: 0.0000, learning_rate: 0.00000041, epoch_time: 2.000min
Epoch:[1/2](2550/4292), loss: 0.5326, dpo_loss: 0.5326, aux_loss: 0.0000, learning_rate: 0.00000041, epoch_time: 2.000min
